route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
42-20589,2019DE-1BUSWK-Weekday-10,50980057,"MARLBOROUGH",0,5624023,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980058,"MARLBOROUGH",0,5624023,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980059,"MARLBOROUGH",0,5624023,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980060,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980061,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980062,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980063,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980064,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980065,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980066,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980067,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980068,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980069,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980070,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980071,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980072,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980073,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980074,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980075,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980076,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980077,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980078,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980079,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980080,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980081,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980082,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980083,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980084,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980085,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980086,"MARLBOROUGH",0,5624120,420039
42-20589,2019DE-1BUSWK-Weekday-10,50980087,"MARLBOROUGH",0,5624120,420039
23-20589,2019DE-1BUSWK-Weekday-10,50980088,"52 STREET EAST",0,5623997,230127
42-20589,2019DE-1BUSWK-Weekday-10,50980089,"MARLBOROUGH",0,5624120,420039
23-20589,2019DE-1BUSWK-Weekday-10,50980090,"52 STREET EAST",0,5624065,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980091,"52 STREET EAST",1,5623997,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980092,"52 STREET EAST",1,5623997,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980093,"52 STREET EAST",0,5623997,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980094,"52 STREET EAST",1,5623997,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980095,"52 STREET EAST",0,5623997,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980096,"52 STREET EAST",1,5624044,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980097,"52 STREET EAST",1,5623939,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980098,"52 STREET EAST",0,5623939,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980099,"52 STREET EAST",1,5624270,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980100,"52 STREET EAST",0,5624270,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980101,"52 STREET EAST",1,5624270,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980102,"52 STREET EAST",1,5623939,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980103,"52 STREET EAST",0,5623939,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980104,"52 STREET EAST",1,5623939,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980105,"52 STREET EAST",0,5623939,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980106,"52 STREET EAST",1,5623939,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980107,"52 STREET EAST",1,5624094,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980108,"52 STREET EAST",0,5624094,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980109,"52 STREET EAST",1,5624094,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980110,"52 STREET EAST",1,5623857,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980111,"52 STREET EAST",0,5623857,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980112,"52 STREET EAST",1,5623857,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980113,"52 STREET EAST",0,5623857,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980114,"52 STREET EAST",1,5623857,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980115,"52 STREET EAST",0,5623857,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980116,"52 STREET EAST",0,5624381,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980117,"52 STREET EAST",1,5624381,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980118,"52 STREET EAST",0,5624381,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980119,"52 STREET EAST",1,5624065,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980120,"52 STREET EAST",1,5624065,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980121,"52 STREET EAST",0,5624065,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980122,"52 STREET EAST",1,5624381,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980123,"52 STREET EAST",0,5624381,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980124,"52 STREET EAST",0,5623855,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980125,"52 STREET EAST",1,5623855,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980126,"52 STREET EAST",0,5623855,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980127,"52 STREET EAST",1,5623855,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980128,"52 STREET EAST",0,5623855,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980129,"52 STREET EAST",1,5623855,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980130,"52 STREET EAST",0,5623855,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980131,"52 STREET EAST",0,5624267,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980132,"52 STREET EAST",1,5624267,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980133,"52 STREET EAST",0,5624267,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980134,"52 STREET EAST",0,5623868,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980135,"52 STREET EAST",1,5623868,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980136,"52 STREET EAST",0,5623868,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980137,"52 STREET EAST",1,5623868,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980138,"52 STREET EAST",0,5623868,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980139,"52 STREET EAST",1,5624267,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980140,"52 STREET EAST",0,5624331,230127
23-20589,2019DE-1BUSWK-Weekday-10,50980141,"52 STREET EAST",1,5624331,230142
23-20589,2019DE-1BUSWK-Weekday-10,50980142,"52 STREET EAST",0,5624331,230127
33-20589,2019DE-1BUSWK-Weekday-10,50980143,"VISTA HEIGHTS",0,5624934,330065
33-20589,2019DE-1BUSWK-Weekday-10,50980144,"BARLOW STN",1,5624934,330066
33-20589,2019DE-1BUSWK-Weekday-10,50980145,"VISTA HEIGHTS",0,5624934,330065
33-20589,2019DE-1BUSWK-Weekday-10,50980146,"VISTA HEIGHTS",0,5624934,330065
33-20589,2019DE-1BUSWK-Weekday-10,50980147,"BARLOW STN",1,5624934,330066
33-20589,2019DE-1BUSWK-Weekday-10,50980148,"VISTA HEIGHTS",0,5624934,330065
33-20589,2019DE-1BUSWK-Weekday-10,50980149,"BARLOW STN",1,5624934,330066
33-20589,2019DE-1BUSWK-Weekday-10,50980150,"BARLOW STN",1,5624589,330066
33-20589,2019DE-1BUSWK-Weekday-10,50980151,"RUNDLE STATION",0,5624589,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980152,"RUNDLE STATION",0,5624589,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980153,"BARLOW STN",1,5624589,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980154,"RUNDLE STATION",0,5624589,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980155,"BARLOW STN",1,5624589,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980156,"BARLOW STN",1,5624589,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980157,"RUNDLE STATION",0,5624589,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980158,"BARLOW STN",1,5624589,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980159,"RUNDLE STATION",0,5624474,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980160,"BARLOW STN",1,5624474,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980161,"RUNDLE STATION",0,5624474,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980162,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980163,"BARLOW STN",1,5624474,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980164,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980165,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980166,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980167,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980168,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980169,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980170,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980171,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980172,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980173,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980174,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980175,"RUNDLE STATION",0,5624331,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980176,"BARLOW STN",1,5624331,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980177,"RUNDLE STATION",0,5624401,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980178,"BARLOW STN",1,5624401,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980179,"RUNDLE STATION",0,5624401,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980180,"BARLOW STN",1,5624401,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980181,"RUNDLE STATION",0,5624401,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980182,"BARLOW STN",1,5624401,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980183,"RUNDLE STATION",0,5624617,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980184,"BARLOW STN",1,5624617,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980185,"RUNDLE STATION",0,5624617,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980186,"BARLOW STN",1,5624617,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980187,"RUNDLE STATION",0,5624617,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980188,"BARLOW STN",1,5624617,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980189,"RUNDLE STATION",0,5624617,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980190,"BARLOW STN",1,5624478,330066
33-20589,2019DE-1BUSWK-Weekday-10,50980191,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980192,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980193,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980194,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980195,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980196,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980197,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980198,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980199,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980200,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980201,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980202,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980203,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980204,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980205,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980206,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980207,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980208,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980209,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980210,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980211,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980212,"BARLOW STN",1,5624478,330071
33-20589,2019DE-1BUSWK-Weekday-10,50980213,"RUNDLE STATION",0,5624478,330070
33-20589,2019DE-1BUSWK-Weekday-10,50980214,"BARLOW STN",1,5624478,330071
49-20589,2019DE-1BUSWK-Weekday-10,50980215,"FOREST HEIGHTS",1,5624069,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980216,"FOREST HEIGHTS",1,5624069,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980217,"FOREST HEIGHTS",1,5624069,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980218,"FOREST HEIGHTS",1,5624069,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980219,"FOREST HEIGHTS",1,5624069,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980220,"FOREST HEIGHTS",1,5624122,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980221,"FOREST HEIGHTS",1,5624122,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980222,"FOREST HEIGHTS",1,5624122,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980223,"FOREST HEIGHTS",1,5624122,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980224,"FOREST HEIGHTS",1,5624385,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980225,"FOREST HEIGHTS",1,5624385,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980226,"FOREST HEIGHTS",1,5624385,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980227,"FOREST HEIGHTS",1,5624590,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980228,"FOREST HEIGHTS",1,5624385,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980229,"FOREST HEIGHTS",1,5624385,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980230,"FOREST HEIGHTS",1,5624590,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980231,"FOREST HEIGHTS",1,5624590,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980232,"FOREST HEIGHTS",1,5624590,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980233,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980234,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980235,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980236,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980237,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980238,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980239,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980240,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980241,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980242,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980243,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980244,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980245,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980246,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980247,"FOREST HEIGHTS",1,5623923,490019
49-20589,2019DE-1BUSWK-Weekday-10,50980248,"FOREST HEIGHTS",1,5623923,490019
